Usuario,Cod. Grupo,Programa,Grupo de Usuários e descrição
01-AKIO,1,eslf003,1      001 - Matriz
01-AKIO,1,espd4050,1      001 - Matriz
01-AKIO,1,html-for.forecast,1      001 - Matriz
01-AKIO,1,html-rmf.recMuniFix,1      001 - Matriz
01-AKIO,1,spre102,1      001 - Matriz
01-AKIO,1,Z01UN006,1      001 - Matriz
01-AKIO,1,z02un007,1      001 - Matriz
01-alan,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alan,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alan,1,bas_pais,1      001 - Matriz
01-alan,1,bas_palavra_chave,1      001 - Matriz
01-alan,1,BL3000,1      001 - Matriz
01-alan,1,btb010aa,1      001 - Matriz
01-alan,1,btb100aa,1      001 - Matriz
01-alan,1,cc0504,1      001 - Matriz
01-alan,1,cc0504a,1      001 - Matriz
01-alan,1,cc0504b,1      001 - Matriz
01-alan,1,cc0504c,1      001 - Matriz
01-alan,1,cc0504d,1      001 - Matriz
01-alan,1,cd0030,1      001 - Matriz
01-alan,1,cd0181,1      001 - Matriz
01-alan,1,cd0182,1      001 - Matriz
01-alan,1,cd0330,1      001 - Matriz
01-alan,1,CD0999,1      001 - Matriz
01-alan,1,ce0206,1      001 - Matriz
01-alan,1,ce0419,1      001 - Matriz
01-alan,1,crm3001,1      001 - Matriz
01-alan,1,ecd1017,1      001 - Matriz
01-alan,1,ees3001,1      001 - Matriz
01-alan,1,esacr3012,1      001 - Matriz
01-alan,1,eslf003,1      001 - Matriz
01-alan,1,espd4050,1      001 - Matriz
01-alan,1,html-for.forecast,1      001 - Matriz
01-alan,1,html-rmf.recMuniFix,1      001 - Matriz
01-alan,1,spre102,1      001 - Matriz
01-alan,1,Z01UN006,1      001 - Matriz
01-alan,1,z02un007,1      001 - Matriz
01-alana,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alana,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alana,1,bas_pais,1      001 - Matriz
01-alana,1,bas_palavra_chave,1      001 - Matriz
01-alana,1,BL3000,1      001 - Matriz
01-alana,1,btb010aa,1      001 - Matriz
01-alana,1,btb100aa,1      001 - Matriz
01-alana,1,cc0504,1      001 - Matriz
01-alana,1,cc0504a,1      001 - Matriz
01-alana,1,cc0504b,1      001 - Matriz
01-alana,1,cc0504c,1      001 - Matriz
01-alana,1,cc0504d,1      001 - Matriz
01-alana,1,cd0030,1      001 - Matriz
01-alana,1,cd0181,1      001 - Matriz
01-alana,1,cd0182,1      001 - Matriz
01-alana,1,cd0330,1      001 - Matriz
01-alana,1,CD0999,1      001 - Matriz
01-alana,1,ce0206,1      001 - Matriz
01-alana,1,ce0419,1      001 - Matriz
01-alana,1,crm3001,1      001 - Matriz
01-alana,1,ecd1017,1      001 - Matriz
01-alana,1,ees3001,1      001 - Matriz
01-alana,1,esacr3012,1      001 - Matriz
01-alana,1,eslf003,1      001 - Matriz
01-alana,1,espd4050,1      001 - Matriz
01-alana,1,html-for.forecast,1      001 - Matriz
01-alana,1,html-rmf.recMuniFix,1      001 - Matriz
01-alana,1,spre102,1      001 - Matriz
01-alana,1,Z01UN006,1      001 - Matriz
01-alana,1,z02un007,1      001 - Matriz
01-ALCIR,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-ALCIR,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-ALCIR,1,bas_pais,1      001 - Matriz
01-ALCIR,1,bas_palavra_chave,1      001 - Matriz
01-ALCIR,1,BL3000,1      001 - Matriz
01-ALCIR,1,btb010aa,1      001 - Matriz
01-ALCIR,1,btb100aa,1      001 - Matriz
01-ALCIR,1,cc0504,1      001 - Matriz
01-ALCIR,1,cc0504a,1      001 - Matriz
01-ALCIR,1,cc0504b,1      001 - Matriz
01-ALCIR,1,cc0504c,1      001 - Matriz
01-ALCIR,1,cc0504d,1      001 - Matriz
01-ALCIR,1,cd0030,1      001 - Matriz
01-ALCIR,1,cd0181,1      001 - Matriz
01-ALCIR,1,cd0182,1      001 - Matriz
01-ALCIR,1,cd0330,1      001 - Matriz
01-ALCIR,1,CD0999,1      001 - Matriz
01-ALCIR,1,ce0206,1      001 - Matriz
01-ALCIR,1,ce0419,1      001 - Matriz
01-ALCIR,1,crm3001,1      001 - Matriz
01-ALCIR,1,ecd1017,1      001 - Matriz
01-ALCIR,1,ees3001,1      001 - Matriz
01-ALCIR,1,esacr3012,1      001 - Matriz
01-ALCIR,1,eslf003,1      001 - Matriz
01-ALCIR,1,espd4050,1      001 - Matriz
01-ALCIR,1,html-for.forecast,1      001 - Matriz
01-ALCIR,1,html-rmf.recMuniFix,1      001 - Matriz
01-ALCIR,1,spre102,1      001 - Matriz
01-ALCIR,1,Z01UN006,1      001 - Matriz
01-ALCIR,1,z02un007,1      001 - Matriz
01-alduan,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alduan,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alduan,1,bas_pais,1      001 - Matriz
01-alduan,1,bas_palavra_chave,1      001 - Matriz
01-alduan,1,BL3000,1      001 - Matriz
01-alduan,1,btb010aa,1      001 - Matriz
01-alduan,1,btb100aa,1      001 - Matriz
01-alduan,1,cc0504,1      001 - Matriz
01-alduan,1,cc0504a,1      001 - Matriz
01-alduan,1,cc0504b,1      001 - Matriz
01-alduan,1,cc0504c,1      001 - Matriz
01-alduan,1,cc0504d,1      001 - Matriz
01-alduan,1,cd0030,1      001 - Matriz
01-alduan,1,cd0181,1      001 - Matriz
01-alduan,1,cd0182,1      001 - Matriz
01-alduan,1,cd0330,1      001 - Matriz
01-alduan,1,CD0999,1      001 - Matriz
01-alduan,1,ce0206,1      001 - Matriz
01-alduan,1,ce0419,1      001 - Matriz
01-alduan,1,crm3001,1      001 - Matriz
01-alduan,1,ecd1017,1      001 - Matriz
01-alduan,1,ees3001,1      001 - Matriz
01-alduan,1,esacr3012,1      001 - Matriz
01-alduan,1,eslf003,1      001 - Matriz
01-alduan,1,espd4050,1      001 - Matriz
01-alduan,1,html-for.forecast,1      001 - Matriz
01-alduan,1,html-rmf.recMuniFix,1      001 - Matriz
01-alduan,1,spre102,1      001 - Matriz
01-alduan,1,Z01UN006,1      001 - Matriz
01-alduan,1,z02un007,1      001 - Matriz
01-alex,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alex,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alex,1,bas_pais,1      001 - Matriz
01-alex,1,bas_palavra_chave,1      001 - Matriz
01-alex,1,BL3000,1      001 - Matriz
01-alex,1,btb010aa,1      001 - Matriz
01-alex,1,btb100aa,1      001 - Matriz
01-alex,1,cc0504,1      001 - Matriz
01-alex,1,cc0504a,1      001 - Matriz
01-alex,1,cc0504b,1      001 - Matriz
01-alex,1,cc0504c,1      001 - Matriz
01-alex,1,cc0504d,1      001 - Matriz
01-alex,1,cd0030,1      001 - Matriz
01-alex,1,cd0181,1      001 - Matriz
01-alex,1,cd0182,1      001 - Matriz
01-alex,1,cd0330,1      001 - Matriz
01-alex,1,CD0999,1      001 - Matriz
01-alex,1,ce0206,1      001 - Matriz
01-alex,1,ce0419,1      001 - Matriz
01-alex,1,crm3001,1      001 - Matriz
01-alex,1,ecd1017,1      001 - Matriz
01-alex,1,ees3001,1      001 - Matriz
01-alex,1,esacr3012,1      001 - Matriz
01-alex,1,eslf003,1      001 - Matriz
01-alex,1,espd4050,1      001 - Matriz
01-alex,1,html-for.forecast,1      001 - Matriz
01-alex,1,html-rmf.recMuniFix,1      001 - Matriz
01-alex,1,spre102,1      001 - Matriz
01-alex,1,Z01UN006,1      001 - Matriz
01-alex,1,z02un007,1      001 - Matriz
01-alexandra,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alexandra,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alexandra,1,bas_pais,1      001 - Matriz
01-alexandra,1,bas_palavra_chave,1      001 - Matriz
01-alexandra,1,BL3000,1      001 - Matriz
01-alexandra,1,btb010aa,1      001 - Matriz
01-alexandra,1,btb100aa,1      001 - Matriz
01-alexandra,1,cc0504,1      001 - Matriz
01-alexandra,1,cc0504a,1      001 - Matriz
01-alexandra,1,cc0504b,1      001 - Matriz
01-alexandra,1,cc0504c,1      001 - Matriz
01-alexandra,1,cc0504d,1      001 - Matriz
01-alexandra,1,cd0030,1      001 - Matriz
01-alexandra,1,cd0181,1      001 - Matriz
01-alexandra,1,cd0182,1      001 - Matriz
01-alexandra,1,cd0330,1      001 - Matriz
01-alexandra,1,CD0999,1      001 - Matriz
01-alexandra,1,ce0206,1      001 - Matriz
01-alexandra,1,ce0419,1      001 - Matriz
01-alexandra,1,crm3001,1      001 - Matriz
01-alexandra,1,ecd1017,1      001 - Matriz
01-alexandra,1,ees3001,1      001 - Matriz
01-alexandra,1,esacr3012,1      001 - Matriz
01-alexandra,1,eslf003,1      001 - Matriz
01-alexandra,1,espd4050,1      001 - Matriz
01-alexandra,1,html-for.forecast,1      001 - Matriz
01-alexandra,1,html-rmf.recMuniFix,1      001 - Matriz
01-alexandra,1,spre102,1      001 - Matriz
01-alexandra,1,Z01UN006,1      001 - Matriz
01-alexandra,1,z02un007,1      001 - Matriz
01-ALINE,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-ALINE,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-ALINE,1,bas_pais,1      001 - Matriz
01-ALINE,1,bas_palavra_chave,1      001 - Matriz
01-ALINE,1,BL3000,1      001 - Matriz
01-ALINE,1,btb010aa,1      001 - Matriz
01-ALINE,1,btb100aa,1      001 - Matriz
01-ALINE,1,cc0504,1      001 - Matriz
01-ALINE,1,cc0504a,1      001 - Matriz
01-ALINE,1,cc0504b,1      001 - Matriz
01-ALINE,1,cc0504c,1      001 - Matriz
01-ALINE,1,cc0504d,1      001 - Matriz
01-ALINE,1,cd0030,1      001 - Matriz
01-ALINE,1,cd0181,1      001 - Matriz
01-ALINE,1,cd0182,1      001 - Matriz
01-ALINE,1,cd0330,1      001 - Matriz
01-ALINE,1,CD0999,1      001 - Matriz
01-ALINE,1,ce0206,1      001 - Matriz
01-ALINE,1,ce0419,1      001 - Matriz
01-ALINE,1,crm3001,1      001 - Matriz
01-ALINE,1,ecd1017,1      001 - Matriz
01-ALINE,1,ees3001,1      001 - Matriz
01-ALINE,1,esacr3012,1      001 - Matriz
01-ALINE,1,eslf003,1      001 - Matriz
01-ALINE,1,espd4050,1      001 - Matriz
01-ALINE,1,html-for.forecast,1      001 - Matriz
01-ALINE,1,html-rmf.recMuniFix,1      001 - Matriz
01-ALINE,1,spre102,1      001 - Matriz
01-ALINE,1,Z01UN006,1      001 - Matriz
01-ALINE,1,z02un007,1      001 - Matriz
01-alliane,1,bas_lote_impl_tit_ap,1      001 - Matriz
01-alliane,1,bas_lote_impl_tit_ap_fatura,1      001 - Matriz
01-alliane,1,bas_pais,1      001 - Matriz
01-alliane,1,bas_palavra_chave,1      001 - Matriz
01-alliane,1,BL3000,1      001 - Matriz
01-alliane,1,btb010aa,1      001 - Matriz
01-alliane,1,btb100aa,1      001 - Matriz
01-alliane,1,cc0504,1      001 - Matriz
01-alliane,1,cc0504a,1      001 - Matriz
01-alliane,1,cc0504b,1      001 - Matriz
01-alliane,1,cc0504c,1      001 - Matriz
01-alliane,1,cc0504d,1      001 - Matriz
01-alliane,1,cd0030,1      001 - Matriz
01-alliane,1,cd0181,1      001 - Matriz
01-alliane,1,cd0182,1      001 - Matriz
01-alliane,1,cd0330,1      001 - Matriz
01-alliane,1,CD0999,1      001 - Matriz
01-alliane,1,ce0206,1      001 - Matriz
01-alliane,1,ce0419,1      001 - Matriz
01-alliane,1,crm3001,1      001 - Matriz
01-alliane,1,ecd1017,1      001 - Matriz
01-alliane,1,ees3001,1      001 - Matriz
01-alliane,1,esacr3012,1      001 - Matriz
01-alliane,1,eslf003,1      001 - Matriz
01-alliane,1,espd4050,1      001 - Matriz
01-alliane,1,html-for.forecast,1      001 - Matriz
01-alliane,1,html-rmf.recMuniFix,1      001 - Matriz
01-alliane,1,spre102,1      001 - Matriz
01-alliane,1,Z01UN006,1      001 - Matriz
01-alliane,1,z02un007,1      001 - Matriz
01-almeida,1,bas_lote_impl_tit_ap,1      001 - Matriz
